date,season,city,tmin,tmax,tavg,precipitation,wind_speed,humidity,pressure
4/11/2000,Spring,Gilgit,-1.2,10.2,4.3,0,2.6,34,1024.1
4/12/2000,Spring,Gilgit,0.2,10.9,5.3,0,2.6,34,1023.2
4/13/2000,Spring,Gilgit,1.1,12.4,6.8,0.2,2.3,37,1020.2
4/14/2000,Spring,Gilgit,2.9,8.9,7.2,4.4,2.1,62,1018.7
4/15/2000,Spring,Gilgit,-1,9.9,4.9,0,2.8,74,1023
4/16/2000,Spring,Gilgit,-0.3,9,4.3,0,2.3,67,1024.9
4/17/2000,Spring,Gilgit,2.4,10.8,6.1,0,2.3,58,1022.6
4/18/2000,Spring,Gilgit,3.6,12.1,8.1,0.3,2,55,1022.9
4/19/2000,Spring,Gilgit,1.6,11.4,6.9,1.2,2.5,70,1025.1
4/20/2000,Spring,Gilgit,-1.5,12.8,6.5,0,2.6,75,1023.6
4/21/2000,Spring,Gilgit,-1.3,11.3,6,0,3.1,74,1023.3
4/22/2000,Spring,Gilgit,-0.5,11.3,5.7,0,2.5,76,1021.1
4/23/2000,Spring,Gilgit,-0.6,12.5,6.4,0,3.1,79,1017.8
4/24/2000,Spring,Gilgit,-1.7,13,6.7,0.4,2.8,78,1017.6
4/25/2000,Spring,Gilgit,4.3,14.2,9,0.2,2.6,71,1017
4/26/2000,Spring,Gilgit,2,13.2,8.7,0.6,2.6,72,1019.1
4/27/2000,Spring,Gilgit,1.1,13.3,8.3,1.5,2.5,77,1019.3
4/28/2000,Spring,Gilgit,7,13.1,10.2,3.9,1.5,78,1016.5
4/29/2000,Spring,Gilgit,2.4,13.6,9.1,1.7,2.9,72,1019.7
4/30/2000,Spring,Gilgit,2.9,14.9,9.8,0.1,2.3,69,1023.8
5/1/2000,Spring,Gilgit,2.1,15.8,9.6,0,2.8,64,1024.2
5/2/2000,Spring,Gilgit,6.5,18.5,12.8,0,2,48,1023.7
5/3/2000,Spring,Gilgit,11,21.6,16.8,0.2,2.1,42,1021.9
5/4/2000,Spring,Gilgit,8,17.9,13.6,11.8,2.3,71,1024
5/5/2000,Spring,Gilgit,2.4,15.8,9.3,0,3.3,74,1025.8
5/6/2000,Spring,Gilgit,5.1,18.9,11.9,0,2.3,51,1021.8
5/7/2000,Spring,Gilgit,7.7,20.6,15,0,2.3,47,1021.6
5/8/2000,Spring,Gilgit,9.8,22.1,16.5,0,2.4,44,1019.6
5/9/2000,Spring,Gilgit,11.3,23.2,17.8,0,2.3,46,1019.3
5/10/2000,Spring,Gilgit,12.1,23.8,18.5,0,2.3,45,1019.4
5/11/2000,Spring,Gilgit,13.2,24,19.1,0,2.3,43,1017.3
5/12/2000,Spring,Gilgit,15.1,23.9,19.5,0.3,2.6,48,1016.6
5/13/2000,Spring,Gilgit,11.1,22,17.3,5.7,2.4,67,1017.7
5/14/2000,Spring,Gilgit,9.4,21.3,15.6,0.5,2.3,79,1018.3
5/15/2000,Spring,Gilgit,7.6,21.4,14.4,0.7,2.8,76,1017.5
5/16/2000,Spring,Gilgit,7.9,22.6,15.9,0.3,3.6,67,1018
5/17/2000,Spring,Gilgit,6.6,23.2,15.9,0,3.2,58,1016.6
5/18/2000,Spring,Gilgit,8.9,25.3,18.4,0,2.6,51,1012.7
5/19/2000,Spring,Gilgit,13.7,25,19.9,3.8,2.2,61,1011
5/20/2000,Spring,Gilgit,12,25.6,20,1.6,2.9,70,1013.2
5/21/2000,Spring,Gilgit,11.8,26.4,19.7,0.8,2.9,62,1015.4
5/22/2000,Spring,Gilgit,12.5,26,20.4,4.8,3.4,59,1014
5/23/2000,Spring,Gilgit,14.7,22.8,18.9,14.4,2.5,81,1014.2
5/24/2000,Spring,Gilgit,12.9,23.4,18.5,3.8,2.9,79,1013.4
5/25/2000,Spring,Gilgit,9.7,24.8,18.8,1,3.3,70,1010.7
5/26/2000,Spring,Gilgit,10,23.8,18.9,1.2,2.3,61,1010.7
5/27/2000,Spring,Gilgit,10,23.4,18,2.7,2.8,69,1013.3
5/28/2000,Spring,Gilgit,9.2,24.5,18.6,0.8,2.9,74,1015.7
